Part Number,Ja,Fe,Ma,Ap,My,Ju,Jl,Au,Se,Oc,No,De,1st Qtr,2nd Qtr,3rd Qtr,4th Qtr,This Year,Last Year
7129904002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
7129903468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7129903749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129903808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129908174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7509063576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
76228567466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129907902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1812-0228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129905981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129907381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
242-JLTD4832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242-JLTD5038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129906048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7129907933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129908076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
7129908142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
7129908415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
50136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
373618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129907073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
96981281AA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7129909265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7129905536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
7129906572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
