,Part Number,Description,Supplier Name,Price,Quantity,Months No Sale,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales - This Year,Turnover,Total Cost
4917,11269898042,set starter drive,bmw,250.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
4921,11277670337,balance weight,bmw,260.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.4
4922,11277670337,balance weight,bmw,260.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.4
4932,11277688360,connecting rod bolt,bmw,25.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76
4933,11277688360,connecting rod bolt,bmw,25.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.76
4936,11277690501,bearing shell,bmw,64.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.92
4937,11277690501,bearing shell,bmw,64.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.92
4957,11311256861,shaft seal,bmw,13.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54
4958,11311256861,shaft seal,bmw,13.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.54
4970,11311338302,camshaft camshaft,bmw,575.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.05
4971,11311338302,camshaft camshaft,bmw,575.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.05
4976,11311340741,piston left,bmw,21.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.36
4977,11311340741,piston left,bmw,21.99,2.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.36
4980,11311340742,piston right,bmw,35.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2
4981,11311340742,piston right,bmw,35.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2
4985,11311341015,spring,bmw,7.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
4986,11311341015,spring,bmw,7.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8
4989,11311341138,"cylinder f chain tensioner,",bmw,46.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68
4990,11311341138,"cylinder f chain tensioner,",bmw,46.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.68
4995,11311341295,left chain tensioner,bmw,52.99,1.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8
