,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
15975,A9708238,95.99,29.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,66.5,30.72,1
15989,T2005001,5.99,2.46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5300000000000002,3.5300000000000002,41.07,1
15990,T2014561,4.99,1.51,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4800000000000004,3.4800000000000004,30.26,1
16025,40-1892,9.99,5.49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,4.5,54.95,1
16028,T3330827,7.99,3.03,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.960000000000001,9.920000000000002,37.92,1
16042,A9708131,60.99,18.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,42.0,31.14,1
16049,A9600610,110.99,33.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,77.0,30.62,1
16088,369398,66.99,20.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.88999999999999,46.88999999999999,30.0,1
16118,A9628043,110.99,33.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,77.0,30.62,1
16241,2033200,175.99,79.97,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.02000000000001,192.04000000000002,45.44,1
16265,26-BPR6HS,5.99,3.27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.72,2.72,54.59,1
16266,26-BR6ES,6.99,4.14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8500000000000005,39.900000000000006,59.23,1
16267,26-BR6HS,5.99,3.14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.85,2.85,52.42,1
16268,26-BR7ES,6.99,4.1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8900000000000006,31.790000000000006,58.66,1
16269,26-JR10B,9.9,5.44,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.46,8.92,54.95,1
16584,T3600048,6.99,6.56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4300000000000006,0.4300000000000006,93.85,1
16609,26-B8HS,4.99,2.34,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6500000000000004,45.050000000000004,46.89,1
16615,361-2095,49.99,49.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010000000000005116,0.010000000000005116,99.98,1
16747,T2080310T,85.99,85.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009999999999990905,0.009999999999990905,99.99,1
16806,04-1400,1.99,1.99,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,1
16815,T2308219T,29.99,29.98,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00999999999999801,0.00999999999999801,99.97,1
