,Part Number,Price,Margin,Quantity,Sales Last Year - Jan,Sales Last Year - Feb,Sales Last Year - Mar,Sales Last Year - Apr,Sales Last Year - May,Sales Last Year - Jun,Sales Last Year - Jul,Sales Last Year - Aug,Sales Last Year - Sep,Sales Last Year - Oct,Sales Last Year - Nov,Last Year Total Sales,Sales - Jan,Sales - Feb,Sales - Mar,Sales - Apr,Sales - May,Sales - Jun,Sales - Jul,Sales - Aug,Sales - Sep,Sales - Oct,Sales - Nov,Total Sales,Sales Last Week,Sales Last 2 Weeks,Sales Last Month,Sales Last 3 Months,Sales Last 6 Months,Sales Last 9 Months,Sales Last 12 Months,Sales Last 2 Years,Sales Last 3 Years,Sales Last 4 Years,Sales Last 5 Years,Cost Per Unit,Total Cost,Margin %,Obsolete
33128,0305-0540,380.99,195.27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,185.72,185.72,51.25,1
33353,27-L411,15.99,6.05,1,1,1,3,0,0,0,0,0,1,1,0,7,0,0,2,18,26,21,0,0,0,0,0,67,0,1,50,67,68,69,77,83,103,-117,24,9.940000000000001,9.940000000000001,37.84,0
33356,501-170A,1.99,1.76,42,0,0,4,5,5,5,0,2,0,2,0,25,2,2,4,2,0,3,1,0,0,0,0,14,0,1,5,13,16,20,50,117,-65,-16,61,0.22999999999999998,127.41999999999999,88.44,0
33359,314-0303,10.99,4.37,3,2,0,3,0,2,2,2,2,0,1,0,14,0,1,1,1,4,3,1,0,0,0,0,11,0,1,8,11,12,17,29,54,67,101,-107,6.62,19.86,39.76,0
33397,3807-0261,90.99,39.555,7,-1,1,1,1,1,0,1,2,4,2,1,14,3,2,2,0,0,2,2,0,0,0,0,11,1,2,4,9,14,21,30,48,52,52,52,51.434999999999995,360.04499999999996,43.47,0
33461,314-0204,10.99,4.37,3,0,4,2,6,0,4,2,3,1,0,0,22,0,0,2,2,0,2,2,0,0,0,0,8,1,3,4,8,8,14,33,55,66,92,-105,6.62,19.86,39.76,0
33462,153216,19.99,11.15,34,0,9,12,2,7,8,8,9,5,2,0,67,3,0,5,0,0,4,6,0,0,0,0,18,3,7,10,18,20,42,100,-64,-35,-35,-35,8.839999999999998,304.97999999999996,55.78,0
33805,MFNA2043-M-L,54.99,19.25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,35.74,250.18,35.01,0
33836,286291209,46.99,35.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,11.75,11.75,74.99,0
33865,2880012,20.99,7.26,20,3,7,18,7,13,18,6,24,9,3,2,123,0,5,11,0,8,7,15,0,0,0,0,46,0,15,30,46,52,90,-77,-26,6,6,6,13.729999999999999,281.465,34.59,0
33906,07129908527,16.99,6.75,7,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,3,0,3,0,0,0,0,6,3,3,6,5,6,6,6,6,6,6,6,10.239999999999998,71.67999999999999,39.73,0
34012,T1260968,9.99,4.08,5,0,0,0,2,0,0,-1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,1,2,2,2,2,6,11,22,30,69,5.91,29.55,40.84,0
34406,T3551272,2.99,1.22,15,0,4,8,1,5,6,0,4,2,0,0,30,0,0,2,0,2,8,1,0,0,0,0,13,0,1,11,13,13,19,47,60,78,93,-126,1.7700000000000002,26.550000000000004,40.8,0
34699,A9758341,275.99,97.24,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,0,2,3,3,3,3,178.75,178.75,35.23,0
