,Part Number,Description,Supplier Name,Margin %,Margin,Price,Quantity,Gross Profit -  Last Month,Gross Profit -  Last 3 Months,Gross Profit -  Last 6 Months,Gross Profit -  Last 9 Months,Gross Profit -  Last 12 Months,Gross Profit -  Last 2 Years,Gross Profit -  Last 3 Years,Gross Profit -  Last 4 Years,Gross Profit -  Last 5 Years,Gross Profit -  Last 10 Years,Total Gross Profit,Gross Profit - Jan,Gross Profit - Feb,Gross Profit - Mar,Gross Profit - Apr,Gross Profit - May,Gross Profit - Jun,Gross Profit - Jul,Gross Profit - Aug,Gross Profit - Sep,Gross Profit - Oct,Gross Profit - Nov,Gross Profit - Dec
8003,11128523552,screw with bush,bmw group canada,37.53,11.63,30.99,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.97,-92.97,0.0,0.0,0.0,0.0,0.0,0.0
8004,11128523552,screw with bush,bmw group canada,41.83,13.92,33.28,0.0,0.0,0.0,0.0,199.68,199.68,199.68,299.52,399.36,532.48,532.48,0.0,0.0,0.0,0.0,0.0,99.84,-99.84,0.0,0.0,0.0,0.0,0.0,0.0
8046,11129899381,set of gaskets,bmw group canada,34.29,42.17,122.99,2.0,0.0,0.0,245.98,245.98,245.98,245.98,245.98,245.98,245.98,245.98,245.98,0.0,0.0,245.98,0.0,122.99,-122.99,0.0,0.0,0.0,0.0,0.0,0.0
8047,11129899381,set of gaskets,bmw group canada,34.0,41.63,122.45,0.0,0.0,0.0,0.0,489.8,489.8,857.15,857.15,857.15,857.15,857.15,244.9,0.0,0.0,244.9,0.0,122.45,-122.45,0.0,0.0,0.0,0.0,0.0,0.0
8396,11151335756,breather,bmw group canada,32.17,33.29,103.49,0.0,0.0,0.0,0.0,103.49,103.49,103.49,103.49,103.49,103.49,103.49,-103.49,0.0,0.0,0.0,-103.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396,11151335756,breather,bmw group canada,32.17,33.29,103.49,0.0,0.0,0.0,0.0,103.49,103.49,103.49,103.49,103.49,103.49,103.49,-103.49,0.0,0.0,0.0,-103.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8397,11151335756,breather,bmw group canada,32.49,33.79,103.99,1.0,0.0,0.0,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,-103.99,0.0,0.0,0.0,-103.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8538,1120-0363,chr inner primary cover f/14-1,parts canada/power twins,46.18,96.97,209.99,2.0,0.0,0.0,0.0,0.0,-209.99,-209.99,-209.99,-209.99,-209.99,-209.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
