,Part Number,Description,Supplier Name,Price,Quantity,Cost Per Unit,Total Cost,Months No Sale
11306,12418559627,starter,bmw,480.49,0,326.4,0.0,10
11315,12419829398,set starter drive,bmw,275.49,0,198.0,0.0,10
11488,1262907-266,substituted by 1262907-458,polaris,544.99,0,381.49,0.0,11
11489,1262907-458,"asm-muffler,lwr,blk",polaris,544.99,0,381.49,0.0,11
11492,1262908-266,substituted by 1262908-458,polaris,544.99,0,381.49,0.0,11
11493,1262908-458,"asm-muffler,upr,blk",polaris,544.99,0,381.49,0.0,11
11496,1263055-922,"weld-shield,exh,frnt,lv,blk",polaris,513.99,0,308.27,0.0,9
11531,1263415-156,"weld-exh,shield,cat,chr",polaris,378.99,0,208.44,0.0,10
11536,1263453-156,"asm-muffler,upr,chr",polaris,544.99,0,381.49,0.0,10
11549,1263501-266,substituted by 1263501-458,polaris,273.99,0,219.19,0.0,9
11550,1263501-458,"weld-shield,exh,frnt,v,lv,blk",polaris,273.99,0,219.19,0.0,9
11552,1263503-458,"weld-shield,exh,rr,up,v,l,blk",polaris,273.99,0,219.19,0.0,11
11907,1310-2266,shock 412 triumph 12.5,parts canada/power twins,547.99,1,383.5700000000001,383.5700000000001,9
11908,1310-2269,shock 412 tri 12.5 hd,parts canada/power twins,547.99,0,383.5700000000001,0.0,9
12313,132708,did 525zvmx-124l g/g s/street,thibault canada,343.99,0,223.59,0.0,11
12351,132893,boot t3s yth bk/yl/rd 7,parts canada/power twins,259.99,0,194.96,0.0,11
12552,1343400,130/70-18 63h sport demon rear,parts canada/power twins,341.99,0,222.27,0.0,10
13790,147-1002,750lb cross bar alum. ramp 122,moto international,381.99,0,255.93,0.0,9
13900,14811231A,horizontal head camshaft,ducati,941.99,0,753.27,0.0,10
13929,148721,"fuel tank, painted, ice queen",royal enfield,624.99,1,406.0,406.0,10
13959,15-1061,170/60-17 heid k60 scout,fullbore marketing ltd.,309.95,0,172.47,0.0,11
14791,1601-0510,shift sensor pc-v dual,parts canada/power twins,459.95,0,321.97,0.0,10
15035,16117685458,filler cap,bmw,310.0,0,223.2,0.0,11
15082,16118394060,tank lid,bmw,630.49,0,453.6,0.0,10
15217,16141600132,fuel level sensor,bmw,395.0,0,284.4,0.0,11
15307,16147724843,fuel pump unit without lever,bmw,1060.0,0,763.2,0.0,10
15338,16148564596,fuel pump assy,bmw,1060.49,0,763.2,0.0,11
15341,16149444766,fuel pump unit with lever se,bmw,1120.49,0,806.4000000000001,0.0,9
15562,165637,yix30l-bs-pw w/acid pack,parts canada/power twins,274.95,0,192.46,0.0,11
15876,17111600196,radiator,bmw,800.0,0,576.0,0.0,9
15936,17118525108,radiator fan,bmw,530.0,0,381.6,0.0,9
15939,17118525833,radiator,bmw,885.49,0,637.2,0.0,9
16185,1750044/B,aluminium pannier silver,royal enfield,930.99,6,733.63,4401.78,10
16201,1760097/D,"compact engine guard,",royal enfield,258.99,2,161.0,322.0,10
16494,1801-1231,"15-20 scout twin slash 3"" so b",parts canada/power twins,734.99,0,372.9,0.0,10
16507,1802-0333,"4"" black end cap (pr)",parts canada/power twins,289.99,0,202.97000000000003,0.0,10
16511,1802-0342,"4"" machined end cap slot blk",parts canada/power twins,374.99,0,262.47,0.0,9
16525,18090003,r18 rockbob front fender,wunderlich,1251.38,0,1088.16,0.0,10
16645,1811-3136,"4"" mufflers indian chrm w/blk",parts canada/power twins,1044.99,0,752.36,0.0,10
16666,1811-3399,17-20 scout slip-ons fish/t ch,parts canada/power twins,744.99,0,349.99,0.0,9
16682,1811-3710,2019 r1250rt slip-on ti/cf,parts canada/power twins,1839.95,0,1379.96,0.0,10
16730,18112345851,f650 downpipe,bmw,420.0,0,285.6,0.0,9
16776,1812-0228,14-20 mon 821/1200 ti link pipe,parts canada/power twins,314.95,0,236.21,0.0,9
16789,1812-0400,19-22 s1000rr opt header ss,parts canada/power twins,1744.95,0,1308.71,0.0,10
17170,18518555689,rear muffler,bmw,1430.49,0,900.9,0.0,10
17182,18518562191,"exhaust manifold, chrome-pla",bmw,2890.0,0,2080.8,0.0,9
17295,18700114,"r18 rockbob saddle, brown leather",wunderlich,1877.11,0,1632.27,0.0,10
17297,18710003,r18 rockbob rear fender,wunderlich,1820.95,0,1627.34,0.0,10
17382,19020111A,clutch disc set,ducati,381.49,0,209.64,0.0,9
17387,19020161A,clutch disc set,ducati,407.99,0,224.26,0.0,11
17696,1990401,"bar end mirror kit,",royal enfield,349.99,0,231.0,0.0,10
17708,1990454,"touring mirror kit,",royal enfield,335.99,0,224.0,0.0,10
18244,2040-2694,light bagz smklens indian,parts canada/power twins,284.99,0,199.47000000000003,0.0,9
18724,21212332974,pressure plate,bmw,300.0,0,190.4,0.0,11
18752,21212345597,diaphr:sprg,bmw,300.0,0,216.0,0.0,11
18757,21217666246,clutch housing,bmw,795.0,0,513.4,0.0,11
18764,21217670455,clutch plate d=180 mm,bmw,375.0,0,220.8,0.0,11
18825,21217700413,lamellar package,bmw,589.99,0,347.82000000000005,0.0,11
18877,21218414017,clutch,bmw,1773.99,0,1117.36,0.0,11
19060,214Z2474,%wsvstreammid lt tintf700gs,thibault canada,459.99,0,321.99,0.0,10
19115,21522333455,clutch vent pipe,bmw,300.49,0,216.0,0.0,11
19194,216524,s-100 cleaner 100 liter drum,parts canada/power twins,1339.99,0,870.97,0.0,10
19269,22-0116,170/60-17 anla capra-x,fullbore marketing ltd.,284.9,0,136.61,0.0,11
19435,2210-0362,speedo-multi meter tnt wh,parts canada/power twins,269.99,0,187.57,0.0,10
19543,226252,120/70b19 60t fr.trailmax miss,thibault canada,260.99,0,169.64,0.0,10
19548,226258,170/60b17 72t rr.trailmax miss,thibault canada,381.99,0,248.29,0.0,10
21063,24-08451,touring seat,zero moto internationalrcycles,540.0,0,325.0,0.0,11
21434,2415173,"switchcrl,3row,lh,500k",polaris,583.99,0,437.99,0.0,11
21564,24220452A,generator cover,ducati,776.99,0,621.36,0.0,11
21997,24828395830,drive belt for cvt,bmw,385.49,0,277.2,0.0,11
22261,25120026B,water pump rotor,ducati,260.49,0,208.28,0.0,9
22409,255435,110/90-16 59v battlax bt46 fr,thibault canada,295.99,0,192.39,0.0,10
22488,258301,100/90-16 54h t/l battlax bt46,thibault canada,251.99,0,120.15,0.0,9
22496,258541,120/80-17 61h t/l battlax bt46,thibault canada,271.99,0,176.79000000000002,0.0,9
22505,25911002,evo1 vario footrest rest set,wunderlich,295.03,0,256.07,0.0,9
22782,2635146,tour lock kit assembly,polaris,256.99,0,154.19,0.0,11
22810,26420471A,generator denso,ducati,890.49,0,623.24,0.0,11
22838,267003,120/70zr19 60w fr. mutant dunl,thibault canada,292.99,0,190.44,0.0,9
